group,dataset,dataset_id,files,total_rr,A,AAAA,NS,SOA,MX,TXT,CNAME,DNAME,wildcard,rewrite_rr,rewrite_ratio,delegation_rr,delegation_ratio,avg_rr_per_file,max_rr_per_file,avg_owner_depth,max_owner_depth,category
top-10,co.kr,top-10/co.kr,80209,1090856,336586,275,540337,80209,67158,23593,42698,0,0,42698,0.03914173823126059,620546,0.5688615179272057,13.600169557032252,543980,3.167521652720432,8,delegation-heavy
top-10,com.cn,top-10/com.cn,46821,509942,182033,62,228661,46821,28016,3839,20510,0,0,20510,0.04022026034333316,275482,0.5402222213506634,10.89130945515901,298126,3.1352918567209604,10,delegation-heavy
top-10,com.mx,top-10/com.mx,32271,527487,148553,172,275836,32271,44357,11090,15208,0,0,15208,0.028831042281610732,308107,0.5841034944937031,16.34554243748257,285535,3.116916625433423,10,delegation-heavy
top-10,com.np,top-10/com.np,11240,105806,17760,23,50685,11240,16226,2198,7674,0,0,7674,0.07252896811144925,61925,0.5852692663932102,9.413345195729537,27633,3.130899948963197,8,rewrite-heavy
top-10,com.sg,top-10/com.sg,11072,167002,43812,129,87614,11072,17094,3099,4182,0,0,4182,0.025041616268068646,98686,0.5909270547658112,15.083273121387283,84469,3.1289565394426413,8,delegation-heavy
top-10,com.tw,top-10/com.tw,41847,456118,160138,218,193747,41847,47030,5400,7738,0,0,7738,0.016964908203578898,235594,0.5165198479340872,10.899658278968623,204814,3.226081847241284,8,delegation-heavy
top-10,com.ua,top-10/com.ua,27966,524028,141619,1492,286042,27966,49253,8142,9514,0,0,9514,0.018155518407413345,314008,0.5992198890135642,18.738039047414716,296816,3.1073549504988285,7,delegation-heavy
top-10,gov.cn,top-10/gov.cn,14580,112866,38816,21,51836,14580,5780,216,1617,0,0,1617,0.014326723725479773,66416,0.5884500203781475,7.741152263374485,49812,3.181214891995818,7,delegation-heavy
top-10,net.au,top-10/net.au,13504,210049,61797,726,102428,13504,21048,3403,7143,0,0,7143,0.03400635089907593,115932,0.5519283595732425,15.554576421800947,99856,3.1814195735280815,8,delegation-heavy
top-10,org.br,top-10/org.br,11285,171412,41708,278,79214,11285,24423,6600,7904,0,0,7904,0.04611112407532728,90499,0.5279618696473992,15.189366415595924,71069,3.160163815835531,7,delegation-heavy
