wf.zdm.com.               			      43200 IN SOA	ns1.wf.zdm.com. 19122302 14400 3600 2419200 14400

wf.zdm.com.                 NS      ns1.wf.zdm.com.
ns1.wf.zdm.com.               A       10.166.21.15

sore.wf.zdm.com.		    IN	NS ns1.sore.wf.zdm.com.
sore.wf.zdm.com.		    IN	NS ns2.sore.wf.zdm.com.
ns1.sore.wf.zdm.com.	    IN	A	10.166.10.12
ns2.sore.wf.zdm.com.	    IN	A 	10.166.10.13



yjuavsfi.wf.zdm.com.     IN    A    52.16.81.153
kalygdnf.wf.zdm.com.     IN    A    173.184.110.205
nvhugqal.wf.zdm.com.     IN    A    157.11.247.155
paqyxoun.wf.zdm.com.     IN    A    215.195.189.131
kgpedjum.wf.zdm.com.     IN    A    55.5.46.157
fekwlnrd.wf.zdm.com.     IN    A    43.191.170.15
gxnvqcfa.wf.zdm.com.     IN    A    108.4.254.98
ltobfxhq.wf.zdm.com.     IN    A    251.91.200.187
lmyuriwd.wf.zdm.com.     IN    A    147.146.37.50
vuhltqog.wf.zdm.com.     IN    A    219.109.104.150
wkujyesn.wf.zdm.com.     IN    A    146.158.4.144
ecymrtdx.wf.zdm.com.     IN    A    94.78.152.197
hrjesgqu.wf.zdm.com.     IN    A    112.100.203.124
yfjcpqin.wf.zdm.com.     IN    A    161.191.39.223
grxpbfni.wf.zdm.com.     IN    A    219.142.74.50
vhxgjqdp.wf.zdm.com.     IN    A    125.227.112.47
emdpfrsa.wf.zdm.com.     IN    A    125.236.19.82
nkjpcwgr.wf.zdm.com.     IN    A    125.222.238.211
rxvtnpec.wf.zdm.com.     IN    A    241.128.111.240
prsbilao.wf.zdm.com.     IN    A    58.235.163.253
euypvtxn.wf.zdm.com.     IN    A    65.228.248.179
bkyoswqi.wf.zdm.com.     IN    A    4.13.66.114
fvxrkalb.wf.zdm.com.     IN    A    159.57.208.162
kbcrvtyd.wf.zdm.com.     IN    A    148.60.199.62
mdoqyhae.wf.zdm.com.     IN    A    200.178.239.59
cuxyhqpn.wf.zdm.com.     IN    A    216.8.69.68
pjqdukme.wf.zdm.com.     IN    A    216.78.50.38
mahrxkje.wf.zdm.com.     IN    A    194.213.203.78
ulmvrhfo.wf.zdm.com.     IN    A    119.181.5.80
scqaekmd.wf.zdm.com.     IN    A    166.248.180.59
klbeudgv.wf.zdm.com.     IN    A    208.17.87.115
cymrodkp.wf.zdm.com.     IN    A    243.5.175.251
vhyejlpw.wf.zdm.com.     IN    A    211.24.33.93
gjrinwfe.wf.zdm.com.     IN    A    31.240.45.53
bcnktgvo.wf.zdm.com.     IN    A    173.93.133.35
vjexakyt.wf.zdm.com.     IN    A    152.104.167.215
cgoueask.wf.zdm.com.     IN    A    36.81.111.100
vhwaorly.wf.zdm.com.     IN    A    207.0.206.116
sjmcquxp.wf.zdm.com.     IN    A    41.174.54.62
bvdrsmkf.wf.zdm.com.     IN    A    54.223.218.194
dhfqpasj.wf.zdm.com.     IN    A    101.228.136.22
bcfjpudq.wf.zdm.com.     IN    A    207.71.206.58
hukscjto.wf.zdm.com.     IN    A    200.120.166.210
gjsqlbmn.wf.zdm.com.     IN    A    227.217.228.168
rqjkbnsy.wf.zdm.com.     IN    A    189.43.221.115
cbkfsldq.wf.zdm.com.     IN    A    199.212.123.128
lvgntemw.wf.zdm.com.     IN    A    250.169.153.108
qedfvkxg.wf.zdm.com.     IN    A    211.202.70.61
nekdrlma.wf.zdm.com.     IN    A    194.237.148.164
phnigrce.wf.zdm.com.     IN    A    46.61.46.23
kbqfthrn.wf.zdm.com.     IN    A    68.203.214.63
kfpabrdm.wf.zdm.com.     IN    A    198.60.101.14
ksbrqiwg.wf.zdm.com.     IN    A    207.202.233.4
kpyhcavn.wf.zdm.com.     IN    A    228.193.34.140
yitlcwmq.wf.zdm.com.     IN    A    4.48.105.54
cxturadl.wf.zdm.com.     IN    A    240.141.147.30
icjtmyvw.wf.zdm.com.     IN    A    92.169.168.196
anwlrkvq.wf.zdm.com.     IN    A    78.146.220.242
gsqrpvxl.wf.zdm.com.     IN    A    145.207.160.98
hnatfcxd.wf.zdm.com.     IN    A    178.136.67.115
hiaoglpr.wf.zdm.com.     IN    A    22.235.98.79
ubcmoeyi.wf.zdm.com.     IN    A    226.24.39.230
jgcmfukb.wf.zdm.com.     IN    A    98.249.212.244
efoyjxhc.wf.zdm.com.     IN    A    112.158.179.193
jqfkuwix.wf.zdm.com.     IN    A    52.23.32.119
pexqutnl.wf.zdm.com.     IN    A    255.87.125.228
opmslhbw.wf.zdm.com.     IN    A    116.9.104.108
cxluqagd.wf.zdm.com.     IN    A    153.25.132.97
onycatmi.wf.zdm.com.     IN    A    118.156.35.234
cwtmrgfj.wf.zdm.com.     IN    A    63.67.147.26
ilawmucj.wf.zdm.com.     IN    A    161.79.238.41
lpektghn.wf.zdm.com.     IN    A    23.48.63.213
tqgynrjw.wf.zdm.com.     IN    A    14.135.159.165
ynsmrabh.wf.zdm.com.     IN    A    214.69.235.243
pesunato.wf.zdm.com.     IN    A    49.177.188.51
qindsmbx.wf.zdm.com.     IN    A    31.25.168.159
gomqftkh.wf.zdm.com.     IN    A    162.129.92.152
sfwjdytx.wf.zdm.com.     IN    A    212.104.207.208
xejpsulk.wf.zdm.com.     IN    A    131.15.112.55
nbrtyach.wf.zdm.com.     IN    A    188.199.60.197
ueifrqcg.wf.zdm.com.     IN    A    127.72.234.253
woiecjkq.wf.zdm.com.     IN    A    220.56.17.133
hejgwsni.wf.zdm.com.     IN    A    163.26.32.247
cekwfdul.wf.zdm.com.     IN    A    131.75.195.200
wlvidmyj.wf.zdm.com.     IN    A    97.147.235.68
rhumdqkv.wf.zdm.com.     IN    A    135.111.61.244
ubmalqdg.wf.zdm.com.     IN    A    116.75.101.100
lteaxgmh.wf.zdm.com.     IN    A    95.6.30.143
ylfdwmqc.wf.zdm.com.     IN    A    218.78.139.116
egjpsoqy.wf.zdm.com.     IN    A    100.232.100.168
fidwqjmo.wf.zdm.com.     IN    A    111.1.114.207
jxwsivca.wf.zdm.com.     IN    A    88.32.136.108
dboymuij.wf.zdm.com.     IN    A    186.236.242.201
vmoadluy.wf.zdm.com.     IN    A    66.23.106.240
otijlnyd.wf.zdm.com.     IN    A    181.30.183.69
lpbtxrme.wf.zdm.com.     IN    A    81.136.93.238
bgnlmpyx.wf.zdm.com.     IN    A    79.221.184.139
hwfeuxns.wf.zdm.com.     IN    A    8.240.179.125
shrmefca.wf.zdm.com.     IN    A    208.239.47.183
vdkfertb.wf.zdm.com.     IN    A    198.161.186.156
hnkpjuxy.wf.zdm.com.     IN    A    48.72.244.196
gtmqovsh.wf.zdm.com.     IN    A    113.98.186.225
cmgyrxkn.wf.zdm.com.     IN    A    115.146.131.189
nfrxuqha.wf.zdm.com.     IN    A    92.253.213.88
duifjaew.wf.zdm.com.     IN    A    117.44.251.220
yfvrdulh.wf.zdm.com.     IN    A    9.53.46.51
xdljtocg.wf.zdm.com.     IN    A    68.142.203.104
vendwoys.wf.zdm.com.     IN    A    94.19.102.248
mnrvckth.wf.zdm.com.     IN    A    176.127.129.81
cfmgahns.wf.zdm.com.     IN    A    236.27.132.239
mofydqpk.wf.zdm.com.     IN    A    188.2.39.246
qoktmwvl.wf.zdm.com.     IN    A    181.149.33.23
bylxsvmi.wf.zdm.com.     IN    A    156.40.155.246
hcalwsen.wf.zdm.com.     IN    A    40.38.243.247
kpbedvgf.wf.zdm.com.     IN    A    74.75.156.231
ywhxfnig.wf.zdm.com.     IN    A    16.251.20.15
jxebcghr.wf.zdm.com.     IN    A    163.7.180.41
yusnrcob.wf.zdm.com.     IN    A    135.8.118.194
xrbeiknw.wf.zdm.com.     IN    A    28.43.233.55
tuebqncm.wf.zdm.com.     IN    A    201.156.181.38
dvftqnja.wf.zdm.com.     IN    A    156.246.6.139
rtkwgoec.wf.zdm.com.     IN    A    206.200.21.134
wogarkfn.wf.zdm.com.     IN    A    188.13.127.81
aqtwfgpr.wf.zdm.com.     IN    A    231.197.13.213
rfpomyhj.wf.zdm.com.     IN    A    239.112.167.2
sxukndvp.wf.zdm.com.     IN    A    129.193.248.247
iayslteo.wf.zdm.com.     IN    A    123.122.234.216
odiwbvmr.wf.zdm.com.     IN    A    93.195.165.248
yvekrhcs.wf.zdm.com.     IN    A    90.105.118.34
tokjlear.wf.zdm.com.     IN    A    29.174.246.81
iyelhqog.wf.zdm.com.     IN    A    121.165.146.66
prcxdnls.wf.zdm.com.     IN    A    80.205.219.169
ibkoupnm.wf.zdm.com.     IN    A    186.248.59.124
oiawugfl.wf.zdm.com.     IN    A    30.102.46.56
fqjugelc.wf.zdm.com.     IN    A    160.191.232.27
jwdabrft.wf.zdm.com.     IN    A    106.189.39.253
mfdcejnu.wf.zdm.com.     IN    A    156.33.146.94
qmsirygw.wf.zdm.com.     IN    A    24.148.254.179
